"Comparison","R2","F_statistic","p_value","p_fdr","significant_fdr"
"Glatiramer acetate vs Healthy Control",0.0238830864487413,2.71588634415263,0.025,0.1705,"No"
"Glatiramer acetate vs Untreated",0.0256806402849508,2.13495897658174,0.047,0.1705,"No"
"Fingolimod vs Healthy Control",0.0193969351289688,2.21542927232256,0.047,0.1705,"No"
"Fingolimod vs Untreated",0.0239640144452393,2.01329583498166,0.062,0.1705,"No"
"Untreated vs Healthy Control",0.00932065865667555,1.78758662956174,0.092,0.188833333333333,"No"
"ocrevus(rituxan) vs Untreated",0.019090247373335,1.77102175436793,0.103,0.188833333333333,"No"
"Interferon vs Healthy Control",0.0129042121148657,1.52953019957064,0.149,0.23375,"No"
"Dimethyl fumarate vs Healthy Control",0.012555867635867,1.46228503547605,0.17,0.23375,"No"
"ocrevus(rituxan) vs Healthy Control",0.00908879912424592,1.10983173170494,0.311,0.380111111111111,"No"
"Interferon vs Untreated",0.0117767164981064,1.03678424951145,0.364,0.4004,"No"
"Dimethyl fumarate vs Untreated",0.00847737973636498,0.726738112539913,0.642,0.642,"No"
